lemmata,text
АБАБÁЙ,"1. межд. ах; ой (возглас, выражающий удивление); абабай, осхъо! ах, как много денег! 2. вводн. сл. конечно; абабáй, до йотIокъ конечно, я приду (приеду)"
АБÁДИ,"V (-и́) вечность, целая вечность; ито йу абади мēкь? когда пройдет эта вечность? ♦ абадило антакьа никогда, ни во веки веков (категоричность отказа); абадило антакьа де йу йезби никогда я на ней не женюсь"
АБАДИ́КЬО,1. лок. от аба́ди 2. нареч. 1) всегда; постоянно; дили мо абадикьо шувокьби я тебя буду помнить всегда 2) вечно; абадило абадикьо во веки веков
АБÁСИ,"V (-и́, -и́бо, -изá) уст. двугривенный, двадцать копеек; дихъо абаси йекIвли я уронила двадцать копеек; гьеᴴшас багьа гъурушун абасин книга стоила один рубль двадцать копеек; абасис багьайар гобусо а) не стоящий и двадцати копеек б) дешевый; квант. гIабаси"
АБАХÁР,"I, II (-и́, -ба, -зá) сосед; соседка; огу абахар хороший сосед; йогу абахар хорошая соседка; ило богутIа абахарба голи у нас хорошие соседи (есть); михъе голлу къеIмлъикьоз оге голлу абахар огу погов. сосед лучше родственника, живущего далеко; абахар гьечIчIе адгъул (гьечIāдгъул) отIōкъ посл. сосед ближе брата (букв. сосед первым придет (подоспеет); цIо нетIха гьечIчIе адгъул абахар отIокъ при пожаре первым сосед прибежит; абахар рескьо эчлъо, логлъар камидоби если сосед состоятельный, то добро от него не минует; аᴴхъ лессегьол абахарба исхо погов. не купи двора, а купи соседа (букв. пока дом не купили, спроси о соседях); см. мадугьа́л"
АБАХА́РЛIИЛЕ,"нареч. по соседству, в соседстве; илло абахарлIиле чачанийес гъиIне голи по соседству с нами живет чеченка; абахарлIиле бог беча бувок с соседями надо жить дружно (в ладу); хварш. абахарлIел"
АБАХА́РЫС,1. ген.I от абаха́р 2. прил. соседский; абахарыс аᴴхъ соседский дом; дом соседа; иду абахарыс кIитI голи это соседская кошка (есть); абахарыс гъонобо лиже голи у соседа много деревьев растут
АБДА́,"(абы́дше//абы́шше, абди́, абды́н, абāд, а́бда) веять (зерновые на ветру); атI абда повеять пшеницу на ветру (с целью очищения от мелких камушек и мусора для подготовки к помолу)"
А(Б)Е,"част. указ. вот (указывает на объект, находящийся в непосредственной близости от 1-го лица); абе дийо аᴴлI вот мое село; айе мижо кад вот ваша дочь; аве дийо уже вот мой сын; аре дийо гъонобо вот мои деревья; абе абенду голи дийо оIмоIкъе вот такой мой осел (есть); ср.: аве, айе, аре"
А(Б)Е́ДЕ,"нареч. здесь; абеде илул бекол быси мы здесь обнаружили змею; до айеде къуду йеги я здесь упала; ср.: аведе, айеде, ареде"
А(Б)Е́ДЕЛ,"нареч. сюда; абедел гьобо! идите сюда! ср.: аведел, айедел, аредел"
А(Б)Е́ДУ,"(эрг. -се, ген. -со) указ. мест. этот, эта, это (рядом); аведу уже этот мальчик; айеду кад эта девочка; ареду рива это стадо; абеду гьеᴴше эта книга; авесе лигу гьимон лаквӣ? видел, что он натворил? авесе до хвассар йӣ он меня спас; ср.: аведу, айеду, ареду; см. о(б)еду"
А(Б)ЕДУСО,"част. указ. вот (указывает на двух предметах или животных, находящихся на одной плоскости близко с собеседником); дубо гьеᴴше абедусо голи вот (именно эта) твоя книга, а не та (другая); ср.: аведусо, айедусо, аредусо"
А(Б)Е́ЛА,"част. указ. вот (обращает внимание на предмет или животное, находящееся непосредственно вблизи от 1-го лица); абела дубо зийе вот твоя корова; абела йу гьеᴴше вот та книга; абела йу мокIо вот то место; ср.: авела, айела, арела"
А(Б)ЕТIУ́Н,"1. частица вот так; аветIун эча увок вот так надо стоять 2. нареч. так; йу аветIун эᴴкьи он (просто) так пошел (хварш.); ср.: аветIун, айетIун, аретIун; см. авна (хварш.)"
А́(Б)НА,"1. частица вот так; авна эча уккойа вот так дома вести себя 2. нареч. так; йу авна эйкьа он (просто) так пошел (хварш.); ср.: авна, айна, арна; ср.: инх. аветIун"
АБТÉК,"III (-ко́, -бо, -зá) аптека; ило къуIне абтек голи у нас (в селении) две аптеки (есть)"
